class_folder,folder_code,item_id,sku,name,category,mapping_method,folder_code_matches_sku,photo_count,exact_unique_count,exact_duplicate_files,readable_count,format_mismatch_count,min_width,min_height,quality_flags,train,validation,test,object_detection_annotations,training_use,manual_visual_review
E021_Soil Moisture Level Sensor,E021,item-e021,E021,Soil Moisture Level Sensor,Electronics & Robotics,image_reference,True,25,22,3,25,0,608,1080,low_resolution:12,20,1,4,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E022_Rocker Switch 6pin,E022,item-e022,E022,Rocker Switch 6pin,Electronics & Robotics,image_reference,True,17,17,0,17,0,608,1080,low_resolution:8,12,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E023_Rocker Switch 2pin (Black),E023,item-e023,E023,Rocker Switch 2pin (Black),Electronics & Robotics,image_reference,True,21,21,0,21,0,608,1080,low_resolution:10,15,5,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E024_Light Dependent Resistor (LDR),E024,item-e024,E024,Light Dependent Resistor (LDR),Electronics & Robotics,image_reference,True,22,22,0,22,0,608,1080,low_resolution:13,13,3,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E025_Resistor 220Ω,E025,item-e025,E025,Resistor 220Ω,Electronics & Robotics,image_reference,True,22,20,2,22,0,608,608,low_resolution:16,18,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E026_Jumper Wire M-M,E026,item-e026,E026,Jumper Wire M-M,Electronics & Robotics,image_reference,True,23,20,3,23,0,608,608,low_resolution:18,15,2,6,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E027_Jumper Wire M-F,E027,item-e027,E027,Jumper Wire M-F,Electronics & Robotics,image_reference,True,22,21,1,22,0,608,608,low_resolution:14,17,2,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E028_HC-SR501 PIR Motion Sensor,E028,item-e028,E028,HC-SR501 PIR Motion Sensor,Electronics & Robotics,image_reference,True,18,18,0,18,0,608,1080,low_resolution:6,14,3,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E029_Maker Line Sensor,E029,item-e029,E029,Maker Line Sensor,Electronics & Robotics,image_reference,True,22,22,0,22,0,608,1080,low_resolution:12,16,3,3,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
E030_16×2 LCD Display,E030,item-e030,E030,16×2 LCD Display,Electronics & Robotics,image_reference,True,22,20,2,22,0,608,608,low_resolution:10,15,6,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L001_test tubes,L001,item-l001,L001,Test tube,Laboratory & Science Supplies,image_reference,True,30,30,0,30,30,3024,4032,,21,8,1,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
L002_test tubes rack,L002,item-l002,L002,Test tube rack,Laboratory & Science Supplies,image_reference,True,39,39,0,39,39,3024,4032,,24,10,5,missing,classification/pre-annotation only,"required for item size, angle, occlusion, packaging and label visibility"
